# Undirected graph (each unordered pair of nodes is saved once): data/synthetic/gnm_small1.txt
# Nodes: 100 Edges: 1000
# NodeId	NodeId
0	1
0	12
0	14
0	22
0	23
0	37
0	39
0	51
0	61
0	62
0	80
0	84
0	97
0	98
0	99
1	7
1	8
1	21
1	24
1	25
1	28
1	35
1	39
1	42
1	53
1	61
1	62
1	65
1	71
1	73
1	78
1	79
1	80
1	81
1	84
1	86
1	97
2	6
2	16
2	22
2	24
2	25
2	43
2	44
2	45
2	46
2	47
2	48
2	53
2	60
2	68
2	73
2	76
2	78
2	81
2	84
2	89
2	90
2	96
3	7
3	24
3	28
3	33
3	38
3	39
3	46
3	50
3	58
3	61
3	62
3	64
3	75
3	78
3	80
3	95
4	12
4	13
4	14
4	16
4	22
4	23
4	35
4	37
4	38
4	41
4	42
4	45
4	46
4	60
4	63
4	67
4	77
4	91
4	92
4	94
5	11
5	35
5	44
5	59
5	60
5	71
5	77
5	79
5	84
5	90
5	98
5	99
6	12
6	13
6	14
6	15
6	16
6	21
6	24
6	33
6	34
6	35
6	38
6	43
6	49
6	52
6	54
6	55
6	59
6	71
6	74
6	78
6	83
6	90
6	94
6	96
6	99
7	8
7	10
7	12
7	23
7	24
7	31
7	32
7	34
7	38
7	41
7	43
7	44
7	47
7	51
7	53
7	67
7	70
7	72
7	77
7	82
7	85
7	87
7	92
7	93
8	16
8	29
8	37
8	40
8	54
8	60
8	62
8	67
8	74
8	77
8	83
8	92
8	93
8	94
9	14
9	18
9	23
9	26
9	28
9	31
9	35
9	38
9	45
9	46
9	47
9	51
9	54
9	58
9	59
9	60
9	73
9	76
9	90
9	95
10	22
10	52
10	59
10	63
10	67
10	68
10	69
10	77
10	79
10	80
10	87
11	13
11	15
11	21
11	25
11	26
11	30
11	40
11	41
11	42
11	49
11	50
11	54
11	55
11	59
11	63
11	69
11	71
11	72
11	85
11	96
11	99
12	16
12	17
12	18
12	19
12	27
12	35
12	42
12	46
12	51
12	53
12	64
12	70
12	72
12	75
12	78
12	82
12	84
12	85
12	90
12	94
12	96
12	97
12	98
13	14
13	18
13	25
13	33
13	34
13	43
13	46
13	48
13	50
13	51
13	60
13	65
13	73
13	75
13	78
13	89
13	93
14	16
14	22
14	26
14	28
14	31
14	33
14	37
14	41
14	48
14	50
14	62
14	76
14	79
14	87
14	98
15	22
15	32
15	33
15	34
15	35
15	36
15	47
15	51
15	60
15	63
15	65
15	72
15	73
15	76
15	81
15	86
15	97
15	99
16	20
16	27
16	28
16	36
16	37
16	39
16	53
16	54
16	59
16	74
16	75
16	79
16	85
16	90
17	18
17	27
17	34
17	39
17	44
17	45
17	54
17	56
17	61
17	62
17	63
17	66
17	68
17	72
17	77
17	86
17	96
18	20
18	25
18	26
18	31
18	37
18	38
18	41
18	42
18	46
18	49
18	53
18	59
18	61
18	64
18	70
18	71
18	74
18	75
18	76
18	77
18	79
18	81
18	93
18	98
19	20
19	33
19	41
19	53
19	57
19	58
19	59
19	67
19	77
19	88
19	99
20	24
20	30
20	31
20	35
20	42
20	44
20	46
20	47
20	50
20	51
20	52
20	56
20	65
20	80
20	89
20	96
20	99
21	24
21	26
21	41
21	42
21	52
21	56
21	61
21	62
21	63
21	73
21	75
21	83
21	93
21	96
22	23
22	24
22	36
22	38
22	40
22	49
22	55
22	68
22	70
22	79
22	86
22	93
22	94
22	99
23	30
23	32
23	34
23	38
23	46
23	57
23	64
23	65
23	67
23	78
23	85
23	97
23	99
24	25
24	26
24	28
24	29
24	33
24	38
24	40
24	42
24	44
24	46
24	54
24	57
24	58
24	67
24	71
24	78
24	80
24	86
24	88
24	90
24	98
25	26
25	31
25	32
25	38
25	40
25	41
25	43
25	44
25	46
25	49
25	52
25	56
25	59
25	75
25	85
25	86
25	95
25	99
26	34
26	36
26	53
26	60
26	61
26	69
26	76
26	78
26	86
26	88
26	89
26	97
27	32
27	37
27	39
27	40
27	44
27	48
27	52
27	58
27	60
27	65
27	68
27	71
27	74
27	84
27	93
27	95
27	96
28	34
28	41
28	42
28	45
28	47
28	50
28	51
28	52
28	63
28	65
28	73
28	78
28	87
29	35
29	38
29	40
29	42
29	45
29	50
29	51
29	54
29	61
29	65
29	69
29	75
29	87
29	96
29	97
29	99
30	33
30	37
30	42
30	46
30	47
30	61
30	64
30	82
30	84
30	93
30	95
30	97
30	99
31	35
31	42
31	45
31	48
31	53
31	54
31	58
31	64
31	76
31	78
31	81
31	84
31	91
31	96
32	34
32	43
32	47
32	55
32	64
32	65
32	70
32	74
32	77
32	80
32	82
32	83
32	84
32	92
33	35
33	39
33	54
33	55
33	59
33	62
33	66
33	77
33	78
33	81
33	93
33	97
33	98
34	55
34	60
34	63
34	70
34	74
34	78
34	84
34	86
34	87
34	98
35	36
35	60
35	61
35	64
35	68
35	73
35	78
35	84
35	88
35	97
36	37
36	46
36	47
36	70
36	76
36	83
36	89
36	94
37	40
37	47
37	61
37	64
37	69
37	71
37	72
37	77
37	81
37	82
38	46
38	47
38	49
38	53
38	54
38	56
38	66
38	67
38	74
38	94
38	99
39	42
39	45
39	51
39	54
39	55
39	59
39	62
39	63
39	67
39	69
39	71
39	87
40	42
40	51
40	59
40	61
40	64
40	71
40	80
40	81
40	87
40	88
40	89
40	90
40	91
40	97
41	43
41	45
41	49
41	69
41	72
41	77
41	82
41	87
41	90
41	95
41	99
42	43
42	45
42	55
42	58
42	64
42	67
42	69
42	70
42	74
42	76
42	79
42	82
42	91
42	93
43	44
43	50
43	54
43	55
43	59
43	60
43	61
43	63
43	82
43	88
43	89
43	92
43	96
43	99
44	52
44	57
44	60
44	68
44	74
44	82
44	85
44	87
44	89
45	46
45	57
45	59
45	62
45	65
45	67
45	68
45	69
45	73
45	81
45	88
45	89
45	90
45	96
45	98
46	50
46	57
46	59
46	75
46	77
46	82
46	99
47	48
47	54
47	55
47	57
47	58
47	60
47	61
