# Undirected graph (each unordered pair of nodes is saved once): data/synthetic/powerlaw_small2.txt
# Nodes: 100 Edges: 137
# NodeId	NodeId
0	1
0	2
0	3
0	4
0	5
0	6
0	8
0	9
0	11
0	12
0	14
0	15
0	16
0	17
0	18
0	19
0	20
0	22
0	25
0	27
0	28
0	29
0	31
0	33
0	36
0	37
0	41
0	42
0	47
0	57
0	59
0	78
0	84
0	85
0	88
1	2
1	3
1	4
1	6
1	7
1	8
1	10
1	11
1	12
1	13
1	16
1	17
1	21
1	22
1	24
1	25
1	27
1	29
1	32
1	36
1	39
1	42
1	45
1	47
1	50
1	51
1	53
1	54
1	58
1	60
1	63
2	3
2	4
2	5
2	6
2	14
2	15
2	16
2	24
2	32
2	34
2	37
2	46
2	61
2	66
3	8
3	10
3	17
3	38
3	69
4	6
4	30
4	38
4	96
5	8
5	9
5	45
5	74
5	83
6	23
6	90
6	95
7	77
7	92
7	93
7	94
8	64
9	44
9	80
10	68
10	79
11	30
11	43
12	50
13	87
13	98
14	26
15	52
18	43
18	76
19	56
19	72
20	54
21	34
23	33
26	67
28	44
31	55
35	39
35	40
40	53
41	81
46	73
48	70
48	75
49	62
49	91
51	71
52	86
55	65
82	99
89	97
