6 98 0.369872 1 1 0.0102041 5.55008 0.687042 0.195781 1, 2, 2.317
2 97 0.3561 1 1 0.0103093 3.5666 0.438974 0.111714 1, 1, 1
0 26 0.883077 1 1 0.0384615 8.10725 1.03311 0.292216 1, 2, 2.289
0 46 0.732367 1 1 0.0217391 4.31031 0.531819 0.147903 1, 1, 1
0 102 0.346923 1 1 0.00980392 8.60469 1.086 0.302397 1, 2, 2.286
0 30 0.855172 1 1 0.0333333 6.45197 0.825091 0.256589 1, 1, 1
0 33 0.882576 1 1 0.030303 1.80165 0.238117 0.0783932 1, 1, 1
0 29 0.667488 1 1 0.0344828 4.76066 0.616374 0.180003 1, 1, 1
2 48 0.716312 1 1 0.0208333 4.27423 0.514105 0.158356 1, 1, 1
0 58 0.490018 1 1 0.0172414 7.30634 0.922249 0.227294 1, 2, 2.326
0 10 0.822222 1 1 0.1 3.4511 0.433252 0.117882 1, 1, 1
1 44 0.641649 1 1 0.0227273 4.77366 0.615702 0.175486 1, 1, 1
0 44 0.614165 1 1 0.0227273 9.79486 1.25183 0.355185 1, 2, 2.338
0 83 0.44784 1 3 0.0361446 3.58772 0.432502 0.109549 1, 0, 0
0 86 0.502052 1 1 0.0116279 3.19451 0.398128 0.105971 1, 1, 1
0 48 0.528369 1 1 0.0208333 3.21455 0.402334 0.103175 1, 2, 2.149
0 48 0.528369 1 1 0.0208333 2.69907 0.328216 0.079375 1, 1, 1
0 93 0.396213 1 2 0.0215054 8.96324 1.15433 0.299037 1, 1, 1
1 37 0.624625 1 1 0.027027 3.20368 0.384403 0.0891643 1, 1, 1
0 11 0.654545 1 1 0.0909091 3.398 0.436322 0.125673 1, 1, 1
1 26 0.723077 1 1 0.0384615 3.50647 0.438619 0.116396 1, 1, 1
2 105 0.353114 1 1 0.00952381 4.4366 0.529453 0.12044 1, 1, 1
1 55 0.543434 1 2 0.0363636 4.01236 0.484048 0.124991 1, 0, 0
1 78 0.48618 1 1 0.0128205 3.69915 0.444923 0.108173 1, 1, 1
2 91 0.389499 1 3 0.032967 3.48302 0.433921 0.107503 1, 0, 0
0 32 0.657258 1 1 0.03125 9.02163 1.14197 0.281783 1, 2, 2.367
0 91 0.403419 1 3 0.032967 6.06149 0.753413 0.269729 1, 0, 0
0 29 0.864532 1 1 0.0344828 1.35144 0.161494 0.03882 1, 1, 1
0 102 0.424189 1 2 0.0196078 7.14432 0.915911 0.275721 1, 0, 0
0 37 0.624625 1 2 0.0540541 3.98141 0.499704 0.128788 1, 1, 1
0 61 0.587432 1 2 0.0327869 2.00085 0.251291 0.072333 1, 0, 0
1 79 0.526452 1 1 0.0126582 5.28233 0.650333 0.211993 1, 0, 0
0 34 0.700535 1 2 0.0588235 3.13214 0.381419 0.105172 1, 0, 0
0 102 0.346923 1 1 0.00980392 3.55562 0.453078 0.136226 1, 2, 2
1 27 0.769231 1 2 0.0740741 2.83665 0.365539 0.0892615 1, 0, 0
0 82 0.502258 1 2 0.0243902 3.46775 0.432828 0.139117 1, 0, 0
0 27 0.769231 1 1 0.037037 12.3708 1.5708 0.41722 1, 2, 2.367
0 43 0.568106 1 1 0.0232558 5.73255 0.720877 0.193903 1, 3, 3.558
1 30 0.696552 1 2 0.0666667 8.08724 1.04033 0.249104 1, 2, 2.362
2 43 0.61794 1 1 0.0232558 3.55598 0.432787 0.112565 1, 0, 0
5 67 0.448666 1 1 0.0149254 3.46984 0.440894 0.121123 1, 1, 1
