3.04226 0.218218 72 0.578638 1 0.0138889 0.914322 1, 2, 3.231
3.04226 0.345857 22 0.471861 1 0.0909091 0.648881 1, 4, 5.964
3.04226 0.3849 53 0.526851 1 0.0377358 0.899771 1, 4, 5.85
3.04226 0.213201 3 0.333333 1 0.333333 0.097315 1, 2, 2.623
3.04226 0.182574 44 0.265328 1 0.0454545 0.842419 1, 0, 0
3.04226 0.534522 27 0.652422 1 0.037037 0.804686 1, 3, 3.896
3.04226 0.495074 88 0.184169 1 0.0113636 0.998116 1, 2, 2.501
3.04226 0.516398 20 0.584211 1 0.05 0.738124 1, 4, 6.054
3.04226 0.385758 81 0.479938 1 0.0123457 0.970269 1, 0, 0
3.04226 0.204124 15 0.0952381 1 0.0666667 0.41231 1, 3, 3.919
3.04226 0.316228 86 0.560602 1 0.0116279 0.913776 1, 1, 1
3.04226 0.308607 20 0.231579 1 0.05 0.461714 1, 1, 1
3.04226 0.559017 15 0.371429 1 0.0666667 0.756597 1, 0, 0
3.04226 0.503953 32 0.6875 1 0.03125 0.826242 1, 1, 1
3.04226 0.308607 38 0.513514 1 0.0263158 0.691734 1, 0, 0
3.04226 0.241747 16 0.4 1 0.125 0.343462 1, 2, 3.001
3.04226 0.204124 33 0.420455 1 0.121212 0.689453 1, 3, 5.11
3.04226 0.816497 69 0.25746 1 0.0144928 0.982774 1, 2, 2.593
3.04226 0.46291 9 0.805556 1 0.222222 0.509286 1, 0, 0
3.04226 0.204124 33 0.32197 1 0.030303 0.689453 1, 3, 4.021
3.04226 0.555556 27 0.478632 1 0.037037 0.921406 1, 2, 2.472
3.04226 0.408248 22 0.298701 1 0.0454545 0.592085 1, 3, 3.877
3.04226 0.597614 9 0.722222 1 0.111111 0.662643 1, 0, 0
3.04226 0.365148 48 0.571809 1 0.0208333 0.857259 1, 2, 3.023
3.04226 0.3849 70 0.589648 1 0.0285714 0.952076 1, 0, 0
3.04226 0.447214 62 0.452142 0 0.0322581 0.943845 1, 1, 1
3.04226 0.258199 77 0.41866 1 0.012987 0.913411 1, 2, 3.172
3.04226 0.273861 51 0.506667 1 0.0980392 0.749031 1, 3, 3.87
3.04226 0.162221 54 0.272537 1 0.0185185 0.922221 1, 1, 1
3.04226 0.301511 7 0.952381 1 0.142857 0.194891 1, 3, 4.309
3.04226 0.683763 62 0.168694 1 0.016129 0.999311 1, 2, 3.025
3.04226 0.365148 42 0.239257 1 0.0238095 0.817933 1, 1, 1
3.04226 0.597614 8 0.392857 1 0.125 0.619351 1, 0, 0
3.04226 0.217643 54 0.272537 1 0.037037 0.841638 1, 3, 4.002
3.04226 0.341882 7 0.952381 1 0.285714 0.283243 1, 6, 9.714
3.04226 0.204124 69 0.25746 1 0.0144928 0.913287 1, 2, 2.632
3.04226 0.376889 82 0.489913 1 0.0243902 0.977165 1, 2, 3.197
3.04226 0.430331 61 0.606011 1 0.0163934 0.959664 1, 2, 2.482
3.04226 0.57735 27 0.413105 1 0.0740741 0.800514 1, 0, 0
3.04226 0.534522 45 0.40101 1 0.0444444 0.934251 1, 0, 0
3.04226 0.483494 85 0.359104 1 0.0117647 0.999824 1, 0, 0
3.04226 0.132453 26 0.135385 1 0.0384615 0.753146 1, 1, 1
3.04226 0.213201 71 0.526358 1 0.0140845 0.911348 1, 1, 1
3.04226 0.38236 52 0.236802 1 0.0192308 0.895326 1, 3, 4.021
3.04226 0.333333 68 0.633011 1 0.0147059 0.937887 1, 3, 4.369
3.04226 0.408248 41 0.3 1 0.0487805 0.811963 1, 0, 0
3.04226 0.57735 99 0.502783 1 0.020202 0.99729 1, 0, 0
3.04226 0.516398 23 0.418972 1 0.0434783 0.785804 1, 0, 0
