2.57607 0.428492 40 0.369231 0 0.05 0.663106 1, 2, 2.806
2.57607 0.469251 48 0.299645 1 0.0208333 0.956866 1, 1, 1
2.57607 0.390007 26 0.353846 1 0.0384615 0.338706 1, 3, 4.58
2.57607 0.322255 67 0.227499 1 0.0149254 0.125209 1, 2, 2.576
2.57607 0.393407 17 0.727941 1 0.117647 0.236928 1, 2, 2.643
2.57607 0.455184 64 0.28373 1 0.03125 0.973292 1, 0, 0
2.57607 0.388371 51 0.24549 1 0.0196078 0.406534 1, 2, 2.664
2.57607 0.813838 11 0.4 1 0.0909091 0.999983 1, 0, 0
2.57607 0.502922 149 0.142481 1 0.0134228 1 1, 0, 0
2.57607 0.29086 28 0.354497 1 0.0714286 0.0141101 1, 1, 1
2.57607 0.655713 18 0.457516 1 0.0555556 0.999908 1, 0, 0
2.57607 0.204555 23 0.454545 1 0.0434783 0 1, 3, 4.169
2.57607 0.377298 107 0.192735 1 0.0186916 0.605166 1, 3, 3.847
2.57607 0.455589 72 0.225743 1 0.0138889 0.983019 1, 2, 2.902
2.57607 0.481507 43 0.302326 1 0.0232558 0.983715 1, 0, 0
2.57607 0.365851 16 0.516667 1 0.125 0.102592 1, 3, 4.385
2.57607 0.265007 42 0.270616 1 0.0238095 0.00525294 1, 2, 2.623
2.57607 0.324524 37 0.334835 1 0.0540541 0.0712105 1, 2, 2.83
2.57607 0.278072 31 0.243011 1 0.0322581 0.00648873 1, 1, 1
2.57607 0.424396 150 0.143624 1 0.00666667 0.983092 1, 2, 2.483
2.57607 0.667195 34 0.404635 1 0.0294118 1 1, 0, 0
2.57607 0.370108 50 0.311837 1 0.02 0.352248 1, 3, 3.617
2.57607 0.424933 32 0.385081 1 0.03125 0.581212 1, 1, 1
2.57607 0.341287 18 0.30719 1 0.0555556 0.0607916 1, 1, 1
2.57607 0.605555 58 0.329704 1 0.0344828 1 1, 0, 0
2.57607 0.282758 23 0.541502 1 0.0434783 0.0215091 1, 3, 3.961
2.57607 0.317909 30 0.524138 1 0.0333333 0.0392962 1, 3, 4.577
2.57607 0.29011 17 0.191176 1 0.0588235 0.00859076 1, 2, 2.502
2.57607 0.604889 25 0.29 1 0.04 0.999933 1, 1, 1
2.57607 0.563034 30 0.312644 1 0.0666667 0.999409 1, 0, 0
2.57607 0.442307 59 0.323787 1 0.0169492 0.926725 1, 1, 1
2.57607 0.377644 27 0.304843 1 0.037037 0.209029 1, 2, 2.446
2.57607 0.324114 40 0.451282 1 0.025 0.076757 1, 2, 2.403
2.57607 0.447035 96 0.177632 1 0.0104167 0.985772 1, 0, 0
2.57607 0.260247 31 0.434409 1 0.0322581 0.00387984 1, 2, 2.668
2.57607 0.304427 32 0.467742 1 0.03125 0.049207 1, 3, 4.037
2.57607 0.402493 18 0.588235 1 0.0555556 0.26797 1, 2, 2.445
2.57607 0.39377 38 0.375533 1 0.0263158 0.453614 1, 3, 4.15
2.57607 0.398082 40 0.283333 1 0.025 0.470722 1, 2, 2.437
2.57607 0.362047 11 0.345455 1 0.0909091 0.0717167 1, 3, 4.379
2.57607 0.347293 24 0.40942 1 0.0416667 0.0802228 1, 4, 6.063
2.57607 0.354877 96 0.235746 1 0.0208333 0.356877 1, 2, 2.504
2.57607 0.337689 28 0.563492 1 0.0714286 0.0741708 1, 2, 2.659
2.57607 0.548788 49 0.244048 1 0.0204082 0.999961 1, 1, 1
2.57607 0.459179 161 0.125311 0 0.0124224 0.99989 1, 3, 4.227
2.57607 0.396696 31 0.313978 1 0.0322581 0.389262 1, 3, 4.052
2.57607 0.26608 31 0.313978 1 0.0322581 0.00387984 1, 3, 4.526
2.57607 0.378235 93 0.193081 1 0.0215054 0.554118 1, 1, 1
2.57607 0.512319 43 0.302326 1 0.0232558 0.998272 1, 1, 1
2.57607 0.732429 42 0.276423 1 0.0238095 1 1, 1, 1
2.57607 0.752871 35 0.49916 1 0.0285714 1 1, 1, 1
2.57607 0.449529 78 0.212454 1 0.0128205 0.968419 1, 2, 2.584
2.57607 0.648682 42 0.436702 1 0.0238095 1 1, 0, 0
2.57607 0.627938 161 0.125311 1 0.0124224 1 1, 0, 0
2.57607 0.579596 45 0.30303 1 0.0666667 0.99999 1, 0, 0
2.57607 0.314709 31 0.313978 1 0.0645161 0.0405791 1, 1, 1
2.57607 0.314314 137 0.172928 1 0.00729927 0.167293 1, 2, 2.489
2.57607 0.461614 28 0.425926 1 0.0357143 0.840175 1, 1, 1
2.57607 0.474244 58 0.329704 1 0.0344828 0.990088 1, 1, 1
2.57607 0.321964 41 0.239024 1 0.0243902 0.0785985 1, 2, 2.552
2.57607 0.345138 20 0.721053 1 0.1 0.0673138 1, 3, 4.305
2.57607 0.599407 21 0.242857 1 0.047619 0.999357 1, 1, 1
2.57607 0.434098 27 0.310541 1 0.037037 0.611166 1, 3, 4.277
2.57607 0.346665 33 0.348485 1 0.030303 0.108618 1, 3, 4.182
2.57607 0.498576 73 0.242009 1 0.0136986 0.999172 1, 0, 0
2.57607 0.68037 19 0.274854 1 0.0526316 0.999993 1, 0, 0
2.57607 0.3013 39 0.31444 1 0.025641 0.059644 1, 1, 1
2.57607 0.410395 150 0.143624 1 0.0133333 0.971361 1, 0, 0
2.57607 0.821123 18 0.640523 1 0.0555556 1 1, 0, 0
2.57607 0.320659 30 0.42069 1 0.0333333 0.0581386 1, 1, 1
2.57607 0.378561 24 0.228261 1 0.0416667 0.188149 1, 1, 1
2.57607 0.560581 26 0.243077 1 0.0769231 0.998408 1, 0, 0
2.57607 0.330483 45 0.245455 1 0.0222222 0.116492 1, 1, 1
2.57607 0.531215 15 0.542857 1 0.0666667 0.938256 1, 1, 1
2.57607 0.599302 161 0.125311 1 0.0124224 1 1, 0, 0
2.57607 0.291105 23 0.391304 1 0.0434783 0.0116051 1, 2, 2.477
2.57607 0.686951 39 0.489879 1 0.0512821 1 1, 0, 0
2.57607 0.348881 48 0.342199 1 0.0208333 0.15401 1, 3, 4.154
2.57607 0.325326 166 0.133698 1 0.0120482 0.282104 1, 1, 1
2.57607 0.389782 40 0.335897 1 0.025 0.335842 1, 1, 1
2.57607 0.489713 126 0.141841 1 0.015873 0.999994 1, 0, 0
2.57607 0.569976 23 0.470356 1 0.0434783 0.996652 1, 2, 2.468
2.57607 0.377065 42 0.231127 1 0.0238095 0.305642 1, 3, 4.327
2.57607 0.454182 28 0.349206 1 0.0357143 0.795046 1, 2, 2.504
2.57607 0.303675 69 0.210145 1 0.0289855 0.103092 1, 3, 4.123
2.57607 0.483131 102 0.184042 1 0.00980392 0.999943 1, 1, 1
2.57607 0.517599 35 0.341176 1 0.0285714 0.994359 1, 2, 2.339
2.57607 0.400113 19 0.602339 1 0.0526316 0.280547 1, 3, 4.065
2.57607 0.392444 51 0.290196 1 0.0196078 0.555679 1, 1, 1
2.57607 0.676669 59 0.247224 1 0.0338983 1 1, 0, 0
2.57607 0.412278 59 0.219755 1 0.0169492 0.752788 1, 2, 2.322
2.57607 0.423418 49 0.434524 1 0.0204082 0.736258 1, 2, 2.548
2.57607 0.472382 17 0.757353 1 0.0588235 0.741376 1, 3, 4.316
2.57607 0.485162 44 0.287526 1 0.0227273 0.985202 1, 2, 2.336
2.57607 0.339952 29 0.423645 1 0.0344828 0.0767155 1, 3, 4.138
2.57607 0.310286 107 0.192735 1 0.00934579 0.133232 1, 2, 2.599
2.57607 0.731781 43 0.24031 1 0.0465116 1 1, 0, 0
2.57607 0.378389 74 0.303591 1 0.027027 0.474122 1, 0, 0
2.57607 0.188502 30 0.34023 1 0.0333333 0 1, 3, 4.003
2.57607 0.468139 38 0.452347 1 0.0263158 0.91697 1, 1, 1
2.57607 0.691051 39 0.358974 1 0.0512821 1 1, 0, 0
2.57607 0.44306 46 0.274396 1 0.0217391 0.869669 1, 2, 2.794
2.57607 0.512264 41 0.287805 1 0.0487805 0.997678 1, 2, 2.452
