2.95168 0.698974 75 0.610811 1 0.0133333 0.999998 1, 0, 0
2.95168 0.67046 151 0.457748 1 0.0198675 1 1, 1, 1
2.95168 0.504802 166 0.200438 1 0.0180723 0.162151 1, 1, 1
2.95168 0.590942 44 0.480973 1 0.0227273 0.501272 1, 1, 1
2.95168 0.79659 165 0.478492 1 0.00606061 1 1, 1, 1
2.95168 0.656541 177 0.502825 1 0.0112994 0.99999 1, 1, 1
2.95168 0.695276 200 0.438844 1 0.005 1 1, 1, 1
2.95168 0.458299 131 0.553729 1 0.0229008 0.0723749 1, 2, 2.662
2.95168 0.411741 112 0.583655 1 0.00892857 0.0813426 1, 3, 4.573
2.95168 0.527571 8 1 1 0.125 0.0175408 1, 4, 5.674
2.95168 0.653337 26 0.270769 1 0.0384615 0.814742 1, 0, 0
2.95168 0.636832 31 0.266667 0 0.0645161 0.708126 1, 1, 1
2.95168 0.824472 37 0.412913 1 0.0540541 1 1, 0, 0
2.95168 0.55092 69 0.422847 1 0.0144928 0.305275 1, 1, 1
2.95168 0.376992 68 0.424934 1 0.0147059 0.0173886 1, 2, 2.648
2.95168 0.741988 129 0.429385 1 0.00775194 1 1, 0, 0
2.95168 0.505953 8 0.25 1 0.125 0.00848991 1, 2, 2.837
2.95168 0.820197 39 0.700405 1 0.025641 1 1, 1, 1
2.95168 0.660272 114 0.591057 1 0.0175439 0.999963 1, 0, 0
2.95168 0.615651 22 0.658009 1 0.0909091 0.412138 1, 1, 1
2.95168 0.530506 98 0.464759 1 0.0102041 0.25581 1, 2, 2.492
2.95168 0.444963 106 0.422102 1 0.0188679 0.0614222 1, 2, 3.046
2.95168 0.320739 33 0.606061 1 0.030303 0 1, 3, 4.604
2.95168 0.410758 48 0.523936 1 0.0208333 0.0357078 1, 2, 3.001
2.95168 0.740944 99 0.60503 1 0.010101 1 1, 0, 0
2.95168 0.662999 2 1 0 0.5 0.163926 1, 5, 6.413
2.95168 0.499943 103 0.565201 1 0.00970874 0.116567 1, 3, 4.729
2.95168 0.623686 8 0.321429 1 0.125 0.211285 1, 1, 1
2.95168 0.699543 116 0.532984 1 0.0258621 1 1, 0, 0
2.95168 0.492272 103 0.488864 1 0.00970874 0.116567 1, 3, 3.877
2.95168 0.520911 66 0.323543 1 0.0151515 0.135839 1, 3, 4.437
2.95168 0.507927 44 0.65222 1 0.0681818 0.0458113 1, 4, 6.298
2.95168 0.571584 9 0.777778 1 0.222222 0.0754116 1, 4, 5.785
2.95168 0.631477 50 0.57551 1 0.02 0.862781 1, 3, 4.834
2.95168 0.49034 181 0.478821 1 0.00552486 0.195712 1, 3, 4.575
2.95168 0.598674 24 0.59058 1 0.0416667 0.315776 1, 2, 2.781
2.95168 0.445907 14 0.384615 1 0.142857 0.00833726 1, 2, 2.749
2.95168 0.853331 31 0.845161 1 0.0322581 1 1, 1, 1
2.95168 0.624412 114 0.624903 1 0.0175439 0.966029 1, 3, 4.443
2.95168 0.436641 36 0.290476 1 0.0277778 0.0136336 1, 2, 2.466
2.95168 0.703051 1 0 1 1 0.203441 1, 0, 0
2.95168 0.701596 124 0.549174 1 0.00806452 1 1, 1, 1
2.95168 0.756957 155 0.487641 1 0.00645161 1 1, 1, 1
2.95168 0.756949 11 0.254545 1 0.0909091 0.994952 1, 0, 0
2.95168 0.814827 26 0.698462 1 0.0769231 1 1, 0, 0
2.95168 0.71076 48 0.632092 1 0.0208333 0.999999 1, 0, 0
2.95168 0.791672 26 0.818462 1 0.0384615 1 1, 0, 0
2.95168 0.805486 126 0.560635 1 0.015873 1 1, 0, 0
2.95168 0.724566 49 0.656463 1 0.0204082 1 1, 1, 1
2.95168 0.520404 112 0.602799 1 0.00892857 0.219445 1, 2, 2.532
2.95168 0.75728 9 0.583333 1 0.111111 0.986795 1, 1, 1
2.95168 0.425869 65 0.646635 1 0.0153846 0.0175044 1, 3, 4.46
2.95168 0.780099 253 0.394912 1 0.00395257 1 1, 0, 0
2.95168 0.504339 47 0.293247 1 0.0638298 0.0488573 1, 1, 1
2.95168 0.440809 49 0.408163 1 0.0204082 0.0288776 1, 3, 4.913
2.95168 0.739231 141 0.526545 1 0.0070922 1 1, 1, 1
2.95168 0.50755 56 0.211688 1 0.0178571 0.057937 1, 2, 2.786
2.95168 0.708921 77 0.542379 1 0.025974 1 1, 0, 0
2.95168 0.535814 188 0.476391 1 0.0265957 0.432661 1, 4, 5.797
2.95168 0.691378 59 0.560491 1 0.0169492 0.999971 1, 4, 6.906
2.95168 0.631145 141 0.526545 1 0.0070922 0.996306 1, 3, 4.468
2.95168 0.494183 47 0.293247 1 0.0212766 0.0549858 1, 0, 0
2.95168 0.763349 106 0.434501 1 0.0188679 1 1, 0, 0
2.95168 0.71345 19 0.216374 1 0.0526316 0.995589 1, 1, 1
2.95168 0.761138 7 0.619048 1 0.142857 0.968722 1, 0, 0
2.95168 0.472933 81 0.244444 1 0.037037 0.0631937 1, 2, 2.74
2.95168 0.434837 9 0.666667 1 0.111111 0.00342596 1, 1, 1
2.95168 0.669414 63 0.462878 1 0.015873 0.996446 1, 1, 1
2.95168 0.570564 43 0.718715 1 0.0930233 0.312442 1, 2, 3.181
2.95168 0.209459 28 0.809524 1 0.107143 0 1, 2, 3.281
2.95168 0.607419 56 0.211688 1 0.0357143 0.636871 1, 3, 3.633
2.95168 0.665926 129 0.429385 1 0.00775194 0.99999 1, 0, 0
2.95168 0.617695 14 0.659341 1 0.0714286 0.286859 1, 1, 1
2.95168 0.772533 16 0.5 1 0.0625 0.999672 1, 2, 2.467
2.95168 0.49298 106 0.422102 1 0.00943396 0.119751 1, 4, 6.075
2.95168 0.59603 51 0.380392 1 0.0196078 0.553526 1, 2, 2.934
2.95168 0.601816 42 0.370499 0 0.047619 0.532216 1, 2, 2.401
2.95168 0.748476 121 0.611295 1 0.00826446 1 1, 0, 0
2.95168 0.427033 68 0.472783 1 0.0588235 0.0183049 1, 2, 2.926
2.95168 0.484786 18 0.366013 1 0.0555556 0.0144186 1, 3, 4.752
2.95168 0.714952 108 0.533922 1 0.00925926 1 1, 1, 1
2.95168 0.69275 56 0.466234 1 0.0178571 0.999951 1, 1, 1
2.95168 0.585238 61 0.345902 1 0.0163934 0.48406 1, 3, 4.969
2.95168 0.807533 62 0.523004 1 0.016129 1 1, 2, 2.406
2.95168 0.426355 116 0.56042 1 0.00862069 0.0310239 1, 4, 5.944
2.95168 0.531098 208 0.404404 1 0.00480769 0.46586 1, 3, 4.157
2.95168 0.844875 54 0.575821 1 0.0185185 1 1, 0, 0
2.95168 0.833784 56 0.535065 1 0.0178571 1 1, 1, 1
2.95168 0.530138 15 0.561905 1 0.0666667 0.044216 1, 4, 6.201
2.95168 0.864235 37 0.615616 1 0.027027 1 1, 1, 1
2.95168 0.48191 4 0.333333 1 0.25 0.00322225 1, 3, 4.037
2.95168 0.561158 65 0.646635 1 0.0153846 0.345121 1, 2, 2.437
2.95168 0.644582 76 0.604912 1 0.0131579 0.981163 1, 1, 1
2.95168 0.716088 122 0.60168 1 0.0163934 1 1, 0, 0
2.95168 0.570401 52 0.258673 1 0.0384615 0.364292 1, 1, 1
2.95168 0.591921 129 0.217175 1 0.00775194 0.869926 1, 1, 1
2.95168 0.343194 35 0.366387 0 0.0571429 0.0180222 1, 3, 4.831
2.95168 0.618397 66 0.364569 1 0.0454545 0.796846 1, 2, 2.638
2.95168 0.523165 83 0.540112 1 0.0722892 0.167732 1, 3, 3.973
2.95168 0.744147 73 0.614916 1 0.0136986 1 1, 0, 0
2.95168 0.604741 170 0.481448 1 0.00588235 0.953818 1, 2, 2.553
2.95168 0.730734 135 0.516639 1 0.0148148 1 1, 0, 0
2.95168 0.758587 19 0.502924 1 0.105263 0.999892 1, 0, 0
2.95168 0.729502 44 0.58351 1 0.0227273 0.999999 1, 2, 2.387
2.95168 0.490324 41 0.75 1 0.0243902 0.0481382 1, 2, 2.625
2.95168 0.784582 77 0.493165 1 0.012987 1 1, 0, 0
2.95168 0.475915 141 0.550861 1 0.0070922 0.107415 1, 3, 4.622
2.95168 0.56481 38 0.714083 1 0.0263158 0.219227 1, 1, 1
2.95168 0.371828 138 0.551677 1 0.00724638 0.0349729 1, 4, 6.288
2.95168 0.469095 72 0.579421 1 0.0277778 0.0385886 1, 2, 2.948
2.95168 0.375181 24 0.59058 1 0.0416667 0.00617203 1, 4, 5.432
2.95168 0.83972 83 0.585954 1 0.0120482 1 1, 0, 0
2.95168 0.680739 71 0.270825 1 0.0140845 0.999953 1, 1, 1
2.95168 0.714034 181 0.453591 1 0.00552486 1 1, 1, 1
2.95168 0.892254 37 0.722222 1 0.0540541 1 1, 0, 0
2.95168 0.435995 35 0.57479 1 0.0285714 0.0132574 1, 3, 4.766
2.95168 0.482483 56 0.412338 1 0.0178571 0.0441788 1, 3, 4.149
2.95168 0.834454 7 0.809524 1 0.285714 0.992029 1, 0, 0
2.95168 0.50714 32 0.493952 1 0.03125 0.0335296 1, 3, 4.31
2.95168 0.523529 125 0.376129 1 0.008 0.241572 1, 3, 3.831
2.95168 0.457846 106 0.483378 1 0.0188679 0.0589794 1, 2, 3.089
2.95168 0.789172 41 0.418293 1 0.0731707 1 1, 0, 0
2.95168 0.524656 71 0.500201 1 0.056338 0.145344 1, 1, 1
2.95168 0.392754 181 0.453591 1 0.0110497 0.0962582 1, 2, 3.22
2.95168 0.844599 28 0.854497 1 0.0714286 1 1, 0, 0
2.95168 0.580393 13 0.153846 1 0.0769231 0.131538 1, 1, 1
2.95168 0.493332 19 0.374269 1 0.0526316 0.0226034 1, 2, 2.825
2.95168 0.588551 83 0.540699 1 0.0120482 0.593607 1, 2, 2.602
2.95168 0.58646 47 0.420907 1 0.0425532 0.399435 1, 1, 1
2.95168 0.660186 21 0.766667 1 0.047619 0.847394 1, 2, 2.89
2.95168 0.654278 30 0.673563 1 0.0666667 0.857069 1, 0, 0
2.95168 0.382769 112 0.602799 1 0.00892857 0.0474586 1, 2, 3.246
2.95168 0.77568 79 0.454398 1 0.0253165 1 1, 0, 0
2.95168 0.499964 46 0.400966 1 0.0217391 0.0538479 1, 3, 3.708
2.95168 0.5695 58 0.472474 1 0.0172414 0.314576 1, 4, 6.847
2.95168 0.428186 19 0.555556 1 0.0526316 0.00514869 1, 3, 4.221
2.95168 0.671572 155 0.547298 1 0.0129032 1 1, 0, 0
2.95168 0.221814 31 0.845161 1 0.129032 0 1, 3, 4.506
2.95168 0.563683 105 0.584066 1 0.00952381 0.495304 1, 2, 2.755
2.95168 0.554573 76 0.602456 1 0.0131579 0.330477 1, 3, 5.174
2.95168 0.879319 8 0.964286 1 0.25 0.999712 1, 0, 0
2.95168 0.464438 101 0.445941 1 0.00990099 0.0537073 1, 1, 1
2.95168 0.53117 23 0.592885 1 0.0434783 0.0669929 1, 2, 3.137
2.95168 0.656457 40 0.657692 1 0.025 0.925269 1, 1, 1
2.95168 0.856051 66 0.364569 1 0.030303 1 1, 0, 0
2.95168 0.49791 39 0.700405 1 0.025641 0.0458447 1, 4, 6.713
2.95168 0.453828 141 0.556332 1 0.0070922 0.0776795 1, 3, 4.527
2.95168 0.563361 32 0.370968 1 0.03125 0.188115 1, 2, 2.286
2.95168 0.91014 28 0.822751 1 0.0714286 1 1, 0, 0
2.95168 0.75979 126 0.560635 1 0.015873 1 1, 0, 0
2.95168 0.877027 30 0.597701 1 0.0666667 1 1, 0, 0
2.95168 0.822341 104 0.610344 1 0.0192308 1 1, 0, 0
2.95168 0.267968 174 0.466879 1 0.0114943 0 1, 2, 3.381
2.95168 0.696585 5 0.8 1 0.2 0.587604 1, 2, 2.798
2.95168 0.589566 11 0.563636 1 0.181818 0.112489 1, 2, 2.718
2.95168 0.683127 94 0.366964 1 0.0106383 0.999998 1, 1, 1
2.95168 0.454634 112 0.602799 1 0.00892857 0.0622119 1, 2, 2.65
2.95168 0.491022 16 0.658333 1 0.125 0.0190687 1, 3, 4.001
2.95168 0.740496 233 0.406504 1 0.00429185 1 1, 2, 2.693
2.95168 0.465032 40 0.241026 1 0.025 0.0216254 1, 4, 5.798
2.95168 0.831082 76 0.409825 1 0.0263158 1 1, 0, 0
2.95168 0.528767 46 0.504348 1 0.0217391 0.0967489 1, 2, 2.483
2.95168 0.464139 103 0.525985 1 0.00970874 0.0547411 1, 2, 2.653
2.95168 0.718383 182 0.495052 1 0.00549451 1 1, 2, 2.241
2.95168 0.515528 204 0.469912 1 0.00490196 0.332185 1, 2, 3.105
2.95168 0.626801 110 0.596831 1 0.00909091 0.961748 1, 0, 0
2.95168 0.540729 39 0.421053 1 0.025641 0.129617 1, 2, 2.792
2.95168 0.559663 16 0.116667 1 0.0625 0.0809926 1, 5, 7.137
2.95168 0.634247 130 0.507335 0 0.0153846 0.994282 1, 0, 0
2.95168 0.442961 65 0.332692 1 0.0153846 0.0381252 1, 3, 3.992
2.95168 0.479198 52 0.488688 1 0.0192308 0.0410413 1, 3, 4.161
2.95168 0.831349 10 0.266667 0 0.2 0.998995 1, 0, 0
2.95168 0.432813 126 0.560635 1 0.00793651 0.0469098 1, 3, 4.648
2.95168 0.624242 32 0.370968 1 0.03125 0.613027 1, 1, 1
2.95168 0.582917 79 0.454398 1 0.0126582 0.575584 1, 2, 2.53
2.95168 0.735928 21 0.152381 1 0.0952381 0.999417 1, 0, 0
2.95168 0.523781 69 0.316283 1 0.0144928 0.141555 1, 3, 3.914
2.95168 0.478622 17 0.617647 1 0.0588235 0.013607 1, 3, 3.811
2.95168 0.824215 21 0.761905 1 0.047619 0.999999 1, 0, 0
2.95168 0.397141 71 0.270825 1 0.0422535 0.038924 1, 2, 3.046
2.95168 0.712133 130 0.566846 1 0.00769231 1 1, 1, 1
2.95168 0.687629 104 0.573002 1 0.00961538 1 1, 1, 1
2.95168 0.43125 155 0.487641 1 0.00645161 0.0573912 1, 2, 3.108
2.95168 0.530038 6 0.733333 1 0.166667 0.0179267 1, 2, 3.034
2.95168 0.499586 108 0.614053 1 0.00925926 0.121867 1, 3, 4.583
2.95168 0.753096 38 0.382646 1 0.0263158 1 1, 1, 1
2.95168 0.730936 65 0.592788 1 0.0153846 1 1, 0, 0
2.95168 0.504328 50 0.347755 1 0.02 0.0518935 1, 2, 2.908
2.95168 0.547546 91 0.54188 1 0.010989 0.27669 1, 2, 2.771
2.95168 0.836505 27 0.316239 1 0.0740741 1 1, 0, 0
2.95168 0.551983 125 0.376129 1 0.008 0.483072 1, 0, 0
2.95168 0.738822 88 0.68652 1 0.0113636 1 1, 0, 0
2.95168 0.692768 65 0.332692 1 0.0307692 0.99999 1, 1, 1
2.95168 0.895402 35 0.757983 1 0.0285714 1 1, 1, 1
2.95168 0.706414 151 0.540221 1 0.00662252 1 1, 1, 1
2.95168 0.804831 60 0.570056 1 0.0166667 1 1, 1, 1
2.95168 0.404013 14 0.285714 1 0.0714286 0.00816356 1, 4, 6.593
2.95168 0.583113 204 0.338066 1 0.00980392 0.890641 1, 0, 0
2.95168 0.617635 66 0.633566 1 0.0151515 0.796846 1, 3, 4.862
2.95168 0.552001 34 0.420677 0 0.147059 0.164295 1, 2, 2.69
2.95168 0.397238 81 0.244444 1 0.0123457 0.0442831 1, 3, 4.336
2.95168 0.704767 51 0.425098 1 0.0196078 0.999991 1, 0, 0
2.95168 0.745049 37 0.412913 1 0.027027 1 1, 1, 1
2.95168 0.653894 125 0.591226 1 0.008 0.999698 1, 1, 1
2.95168 0.749261 78 0.413253 1 0.0128205 1 1, 1, 1
2.95168 0.626098 24 0.771739 1 0.0416667 0.509363 1, 1, 1
2.95168 0.653434 56 0.466234 1 0.0357143 0.973521 1, 0, 0
2.95168 0.803279 40 0.75641 1 0.025 1 1, 1, 1
2.95168 0.595166 45 0.430303 1 0.0444444 0.509096 1, 1, 1
2.95168 0.754135 56 0.495455 1 0.0178571 1 1, 1, 1
2.95168 0.640332 94 0.366964 1 0.0212766 0.992647 1, 0, 0
2.95168 0.548597 4 1 1 0.25 0.0141372 1, 3, 4.394
2.95168 0.634566 29 0.258621 1 0.0344828 0.683991 1, 0, 0
2.95168 0.742331 41 0.519512 1 0.0487805 1 1, 2, 2.78
2.95168 0.783603 82 0.447456 1 0.0243902 1 1, 0, 0
2.95168 0.634413 123 0.385313 1 0.00813008 0.992448 1, 1, 1
2.95168 0.367527 138 0.506823 1 0.0144928 0.0219754 1, 3, 4.735
2.95168 0.518165 53 0.229318 1 0.0188679 0.0995802 1, 1, 1
2.95168 0.257761 90 0.61598 1 0.0222222 0 1, 3, 4.702
2.95168 0.540476 31 0.35914 1 0.0967742 0.104475 1, 2, 2.837
2.95168 0.397995 47 0.577243 1 0.0425532 0.0259391 1, 2, 3.005
2.95168 0.521356 54 0.707897 1 0.0185185 0.112593 1, 2, 2.82
2.95168 0.360889 47 0.420907 1 0.0212766 0.00753926 1, 3, 4.792
2.95168 0.661729 35 0.289076 1 0.0285714 0.95642 1, 3, 4.174
2.95168 0.705431 111 0.547256 1 0.00900901 1 1, 4, 7.479
2.95168 0.683333 200 0.438844 1 0.005 1 1, 1, 1
2.95168 0.481513 108 0.533922 1 0.00925926 0.0834524 1, 3, 4.945
2.95168 0.582437 5 0.8 1 0.2 0.0527982 1, 4, 5.441
2.95168 0.641484 76 0.604912 1 0.0263158 0.981163 1, 0, 0
2.95168 0.839345 43 0.736434 1 0.0232558 1 1, 0, 0
2.95168 0.65025 94 0.402425 1 0.0106383 0.997747 1, 0, 0
2.95168 0.64823 70 0.531263 1 0.0142857 0.974226 1, 1, 1
2.95168 0.713016 34 0.238859 1 0.0294118 0.999939 1, 2, 2.489
2.95168 0.72955 40 0.526923 1 0.025 0.999997 1, 2, 2.703
2.95168 0.364161 189 0.447878 1 0.021164 0.0299739 1, 3, 4.445
2.95168 0.704381 13 0.897436 1 0.0769231 0.94802 1, 2, 3.047
2.95168 0.736796 12 0.136364 1 0.0833333 0.985812 1, 3, 4.718
2.95168 0.572348 49 0.408163 1 0.0204082 0.347458 1, 2, 2.817
2.95168 0.667595 103 0.525985 1 0.00970874 0.999901 1, 3, 4.385
2.95168 0.646836 78 0.413253 1 0.0128205 0.983033 1, 3, 3.698
2.95168 0.900159 2 0 0 1 0.93562 1, 0, 0
2.95168 0.526322 33 0.539773 1 0.030303 0.0703973 1, 3, 4.114
2.95168 0.557754 8 0.357143 1 0.125 0.0413513 1, 3, 4.305
2.95168 0.643823 41 0.245122 1 0.0243902 0.88267 1, 0, 0
2.95168 0.715983 149 0.563214 1 0.00671141 1 1, 2, 2.499
2.95168 0.485908 47 0.293247 1 0.0425532 0.0372125 1, 3, 3.849
2.95168 0.731722 106 0.477628 1 0.00943396 1 1, 1, 1
2.95168 0.923205 4 0.833333 1 0.25 0.99944 1, 0, 0
2.95168 0.700939 70 0.354451 1 0.0285714 1 1, 0, 0
2.95168 0.452418 50 0.57551 1 0.02 0.0282674 1, 2, 3.136
2.95168 0.521138 34 0.393939 1 0.0294118 0.0724513 1, 2, 2.484
2.95168 0.675797 97 0.552405 1 0.0206186 0.999968 1, 0, 0
2.95168 0.686683 144 0.521368 1 0.00694444 1 1, 0, 0
2.95168 0.244502 41 0.442683 1 0.0243902 0 1, 2, 3.31
2.95168 0.803741 50 0.57551 1 0.02 1 1, 0, 0
2.95168 0.735982 114 0.624903 1 0.00877193 1 1, 0, 0
2.95168 0.474654 153 0.508084 1 0.0130719 0.116005 1, 2, 2.562
2.95168 0.549035 41 0.418293 1 0.0243902 0.135791 1, 2, 2.932
2.95168 0.440239 65 0.366346 1 0.0307692 0.0381252 1, 2, 2.749
2.95168 0.641931 62 0.30513 1 0.0322581 0.960847 1, 1, 1
2.95168 0.628564 13 0.448718 1 0.0769231 0.320021 1, 1, 1
2.95168 0.639788 24 0.586957 1 0.0833333 0.614559 1, 2, 2.622
2.95168 0.486135 233 0.406504 1 0.00858369 0.171385 1, 2, 3.185
2.95168 0.383367 53 0.717707 1 0.0188679 0.0227458 1, 2, 2.927
2.95168 0.800742 62 0.452671 1 0.016129 1 1, 1, 1
2.95168 0.549168 70 0.641822 1 0.0142857 0.22055 1, 2, 2.357
2.95168 0.559227 44 0.393235 1 0.0227273 0.207266 1, 2, 2.602
2.95168 0.568624 63 0.623144 1 0.015873 0.336535 1, 3, 4.968
2.95168 0.69001 122 0.564558 1 0.0163934 1 1, 1, 1
2.95168 0.763656 184 0.488596 1 0.0108696 1 1, 0, 0
2.95168 0.528271 89 0.516599 1 0.0337079 0.178705 1, 3, 4.527
2.95168 0.780688 145 0.527874 1 0.00689655 1 1, 0, 0
2.95168 0.791529 83 0.508963 1 0.0361446 1 1, 1, 1
2.95168 0.798351 12 0.560606 1 0.0833333 0.998814 1, 1, 1
2.95168 0.869493 12 0.712121 1 0.0833333 0.999989 1, 0, 0
2.95168 0.765784 91 0.54188 1 0.021978 1 1, 0, 0
2.95168 0.436466 204 0.469912 1 0.0147059 0.0748398 1, 2, 2.709
2.95168 0.463463 164 0.502619 1 0.00609756 0.0857371 1, 3, 4.26
2.95168 0.662208 233 0.406504 1 0.00858369 1 1, 0, 0
2.95168 0.583618 98 0.487482 1 0.0102041 0.654639 1, 2, 2.395
2.95168 0.701849 122 0.60168 1 0.00819672 1 1, 1, 1
2.95168 0.544537 50 0.653061 1 0.04 0.163038 1, 2, 3.064
2.95168 0.634729 81 0.548457 1 0.0123457 0.959949 1, 1, 1
2.95168 0.447048 25 0.426667 1 0.04 0.0148392 1, 3, 4.565
2.95168 0.544851 22 0.601732 1 0.0454545 0.0753219 1, 3, 4.383
2.95168 0.460131 190 0.495461 1 0.0157895 0.0986376 1, 2, 3.162
2.95168 0.445919 62 0.523004 1 0.016129 0.036398 1, 1, 1
2.95168 0.732379 89 0.288304 1 0.011236 1 1, 1, 1
