2.95168 0.360844 75 0.610811 1 0.0133333 0.997384 1, 0, 0
2.95168 0 151 0.457748 1 0.0198675 0.812522 1, 1, 1
2.95168 0.389249 166 0.200438 1 0.0180723 1 1, 1, 1
2.95168 0.240192 44 0.480973 1 0.0227273 0.66612 1, 1, 1
2.95168 0.435194 165 0.478492 1 0.00606061 1 1, 1, 1
2.95168 0.426401 177 0.502825 1 0.0112994 1 1, 1, 1
2.95168 0.323381 200 0.438844 1 0.005 0.999977 1, 1, 1
2.95168 0.154303 131 0.553729 1 0.0229008 0.970915 1, 2, 2.662
2.95168 0.408248 112 0.583655 1 0.00892857 0.999852 1, 3, 4.573
2.95168 0.11547 8 1 1 0.125 0.191988 1, 4, 5.674
2.95168 0.445435 26 0.270769 1 0.0384615 0.91562 1, 0, 0
2.95168 0.219382 31 0.266667 0 0.0645161 0.430478 1, 1, 1
2.95168 0.475651 37 0.412913 1 0.0540541 0.982046 1, 0, 0
2.95168 0.444444 69 0.422847 1 0.0144928 0.998586 1, 1, 1
2.95168 0.0883883 68 0.424934 1 0.0147059 0.483849 1, 2, 2.648
2.95168 0.553372 129 0.429385 1 0.00775194 1 1, 0, 0
2.95168 0.23694 8 0.25 1 0.125 0.164488 1, 2, 2.837
2.95168 0.367884 39 0.700405 1 0.025641 0.954587 1, 1, 1
2.95168 0.45 114 0.591057 1 0.0175439 1 1, 0, 0
2.95168 0.292509 22 0.658009 1 0.0909091 0.611996 1, 1, 1
2.95168 0.210042 98 0.464759 1 0.0102041 0.831307 1, 2, 2.492
2.95168 0 106 0.422102 1 0.0188679 0.69124 1, 2, 3.046
2.95168 0.353553 33 0.606061 1 0.030303 0.842507 1, 3, 4.604
2.95168 0.402911 48 0.523936 1 0.0208333 0.977151 1, 2, 3.001
2.95168 0.263117 99 0.60503 1 0.010101 0.957416 1, 0, 0
2.95168 0.232104 2 1 0 0.5 0.0439333 1, 5, 6.413
2.95168 0.178885 103 0.565201 1 0.00970874 0.903616 1, 3, 4.729
2.95168 0.25 8 0.321429 1 0.125 0.203167 1, 1, 1
2.95168 0.3849 116 0.532984 1 0.0258621 0.999974 1, 0, 0
2.95168 0.324443 103 0.488864 1 0.00970874 0.99589 1, 3, 3.877
2.95168 0.235702 66 0.323543 1 0.0151515 0.772956 1, 3, 4.437
2.95168 0.19245 44 0.65222 1 0.0681818 0.552463 1, 4, 6.298
2.95168 0.297044 9 0.777778 1 0.222222 0.321114 1, 4, 5.785
2.95168 0.172133 50 0.57551 1 0.02 0.678783 1, 3, 4.834
2.95168 0 181 0.478821 1 0.00552486 0.865568 1, 3, 4.575
2.95168 0 24 0.59058 1 0.0416667 0.233623 1, 2, 2.781
2.95168 0.408248 14 0.384615 1 0.142857 0.667847 1, 2, 2.749
2.95168 0.119523 31 0.845161 1 0.0322581 0.562231 1, 1, 1
2.95168 0.3125 114 0.624903 1 0.0175439 0.992336 1, 3, 4.443
2.95168 0.226134 36 0.290476 1 0.0277778 0.537322 1, 2, 2.466
2.95168 0.338062 1 0 1 1 0.0507078 1, 0, 0
2.95168 0.129099 124 0.549174 1 0.00806452 0.963618 1, 1, 1
2.95168 0.57735 155 0.487641 1 0.00645161 1 1, 1, 1
2.95168 0.365148 11 0.254545 1 0.0909091 0.581924 1, 0, 0
2.95168 0.57735 26 0.698462 1 0.0769231 0.976957 1, 0, 0
2.95168 0.218218 48 0.632092 1 0.0208333 0.58175 1, 0, 0
2.95168 0.456435 26 0.818462 1 0.0384615 0.987324 1, 0, 0
2.95168 0.435194 126 0.560635 1 0.015873 1 1, 0, 0
2.95168 0.51031 49 0.656463 1 0.0204082 0.999822 1, 1, 1
2.95168 0.3669 112 0.602799 1 0.00892857 0.999861 1, 2, 2.532
2.95168 0.176777 9 0.583333 1 0.111111 0.184876 1, 1, 1
2.95168 0.142134 65 0.646635 1 0.0153846 0.811349 1, 3, 4.46
2.95168 0.483046 253 0.394912 1 0.00395257 1 1, 0, 0
2.95168 0.223607 47 0.293247 1 0.0638298 0.634402 1, 1, 1
2.95168 0.298142 49 0.408163 1 0.0204082 0.878598 1, 3, 4.913
2.95168 0.516398 141 0.526545 1 0.0070922 1 1, 1, 1
2.95168 0.43259 56 0.211688 1 0.0178571 0.999541 1, 2, 2.786
2.95168 0.19518 77 0.542379 1 0.025974 0.755121 1, 0, 0
2.95168 0.272166 188 0.476391 1 0.0265957 0.998787 1, 4, 5.797
2.95168 0.134976 59 0.560491 1 0.0169492 0.827412 1, 4, 6.906
2.95168 0.197814 141 0.526545 1 0.0070922 0.923956 1, 3, 4.468
2.95168 0.534522 47 0.293247 1 0.0212766 0.999733 1, 0, 0
2.95168 0.683763 106 0.434501 1 0.0188679 1 1, 0, 0
2.95168 0.57735 19 0.216374 1 0.0526316 0.93641 1, 1, 1
2.95168 0.580948 7 0.619048 1 0.142857 0.884747 1, 0, 0
2.95168 0.318142 81 0.244444 1 0.037037 0.968605 1, 2, 2.74
2.95168 0.273861 9 0.666667 1 0.111111 0.274896 1, 1, 1
2.95168 0.363636 63 0.462878 1 0.015873 0.993226 1, 1, 1
